iteration, time, numNodes, f, descent norm (L2), descent norm (L1), descent norm (L∞), max curvature
1, 10, 3, 194.728, 0.175079, 0.340606, 0.122014, 18.0142
2, 3, 3, 154.028, 0.178432, 0.317127, 0.125983, 26.4125
3, 6, 3, 145.469, 0.0383098, 0.0825978, 0.0270333, 45.6412
4, 3, 3, 173.468, 0.0232592, 0.0536649, 0.0170122, 71.5986
5, 12, 3, 235.802, 0.00229753, 0.00575364, 0.00130914, 75.423
6, 11, 3, 326.921, 0.000425327, 0.00115359, 0.000197699, 75.2438
7, 11, 3, 342.301, 0.000393499, 0.00107361, 0.000191607, 74.4564
8, 12, 3, 341.107, 0.000406463, 0.00112417, 0.000195589, 73.644
9, 5, 3, 338.231, 0.000419253, 0.00116281, 0.000200141, 72.813
10, 2, 3, 335.224, 0.000432857, 0.00120335, 0.000204934, 71.9627
11, 3, 3, 332.149, 0.0004474, 0.00124658, 0.000209963, 71.0922
12, 1, 3, 329, 0.000462987, 0.00129282, 0.000215247, 70.2005
13, 5, 3, 325.776, 0.000479735, 0.00134237, 0.000220807, 69.2868
14, 3, 3, 322.471, 0.000497781, 0.0013956, 0.000226669, 68.3498
15, 4, 3, 319.082, 0.000517282, 0.00145293, 0.000232859, 67.3885
16, 14, 3, 315.605, 0.000538422, 0.00151485, 0.000239409, 66.4015
17, 11, 3, 312.036, 0.000561414, 0.00158191, 0.000246355, 65.3875
18, 1, 3, 308.369, 0.000586509, 0.00165478, 0.000253737, 64.345
19, 1, 3, 304.599, 0.000614005, 0.00173421, 0.000261602, 63.2725
20, 13, 3, 300.72, 0.000644254, 0.00182112, 0.000270003, 62.168
21, 3, 3, 296.727, 0.000677678, 0.00191657, 0.000279004, 61.0297
22, 1, 3, 292.611, 0.000714786, 0.00202185, 0.000295637, 59.8554
23, 3, 3, 288.365, 0.000756192, 0.00213852, 0.000318643, 58.6427
24, 8, 3, 283.98, 0.000802652, 0.00226843, 0.000344577, 57.3891
25, 2, 3, 279.448, 0.000855092, 0.0024139, 0.000373975, 56.0915
26, 1, 3, 274.756, 0.000914672, 0.00257777, 0.0004075, 54.7467
27, 1, 3, 269.895, 0.000982845, 0.00276357, 0.000445986, 53.351
28, 1, 3, 264.85, 0.00106146, 0.0029758, 0.000490494, 51.9002
29, 6, 3, 259.606, 0.00115291, 0.00322018, 0.000542388, 50.3895
30, 2, 3, 254.146, 0.0012603, 0.00350417, 0.000603447, 48.8136
31, 1, 3, 248.452, 0.00138777, 0.00383756, 0.000676029, 47.1662
32, 7, 3, 242.499, 0.00154089, 0.0042335, 0.000763313, 45.44
33, 6, 3, 236.263, 0.00172732, 0.00470997, 0.000869667, 43.6265
34, 3, 3, 229.713, 0.00195786, 0.0052921, 0.00100124, 41.7159
35, 1, 3, 222.813, 0.00224805, 0.00601595, 0.00116688, 39.6961
36, 1, 3, 215.522, 0.00262101, 0.00693474, 0.00137975, 37.5529
37, 1, 3, 207.789, 0.00311222, 0.00812982, 0.00166004, 35.2692
38, 1, 3, 199.552, 0.00377842, 0.00973055, 0.00204004, 32.8238
