radius, weight, alpha
0.0842894, 0.0237604, 282.843
0.0792306, 0.0237604, 282.843
0.5, 0.0363246, 282.843
0.0603023, 0.0363246, 282.843
0.5, 0.0236491, 282.843
0.056608, 0.0236491, 282.843
0.09193, 0.0356171, 282.843
0.0854739, 0.0356171, 282.843
0.5, 0.022608, 282.843
0.0460943, 0.022608, 282.843
0.5, 0.0226598, 282.843
0.0462806, 0.0226598, 282.843
0.5, 0.0252682, 282.843
0.0572731, 0.0252682, 282.843
0.0835088, 0.030907, 282.843
0.0873031, 0.030907, 282.843
0.0756603, 0.02601, 282.843
0.0493062, 0.02601, 282.843
0.0706513, 0.0264119, 282.843
0.0524709, 0.0264119, 282.843
0.154157, 0.0282088, 282.843
0.0382682, 0.0282088, 282.843
0.0868899, 0.0217849, 282.843
0.0260845, 0.0217849, 282.843
0.0799831, 0.0262013, 282.843
0.060024, 0.0262013, 282.843
0.114887, 0.0264628, 282.843
0.0220099, 0.0264628, 282.843
0.0963428, 0.0259503, 282.843
0.0586529, 0.0259503, 282.843
0.0991522, 0.0278784, 282.843
0.0327784, 0.0278784, 282.843
0.0787634, 0.0374077, 282.843
0.0592665, 0.0374077, 282.843
0.0426491, 0.0216168, 282.843
0.0785632, 0.0216168, 282.843
0.039554, 0.0232082, 282.843
0.107204, 0.0232082, 282.843
0.0539227, 0.0304407, 282.843
0.0692053, 0.0304407, 282.843
0.0678507, 0.0301923, 282.843
0.091701, 0.0301923, 282.843
0.0596251, 0.0298861, 282.843
0.08037, 0.0298861, 282.843
0.0677836, 0.0234201, 282.843
0.0727216, 0.0234201, 282.843
0.0286998, 0.0284201, 282.843
0.163572, 0.0284201, 282.843
0.0319111, 0.024439, 282.843
0.104078, 0.024439, 282.843
0.0342867, 0.0349038, 282.843
0.12303, 0.0349038, 282.843
0.0491464, 0.027866, 282.843
0.174166, 0.027866, 282.843
0.0405333, 0.03264, 282.843
0.0801065, 0.03264, 282.843
0.0560575, 0.0257494, 282.843
0.0752639, 0.0257494, 282.843
0.0576753, 0.0304457, 282.843
0.0936111, 0.0304457, 282.843
0.0242476, 0.0228793, 282.843
0.15, 0.0228793, 282.843
0.0475364, 0.0304967, 282.843
0.0679584, 0.0304967, 282.843
0.0603204, 0.0290121, 282.843
0.0813873, 0.0290121, 282.843
0.0356864, 0.0288706, 282.843
0.082479, 0.0288706, 282.843
0.0555722, 0.0289235, 282.843
0.0711403, 0.0289235, 282.843
0.0645586, 0.0281836, 282.843
0.153848, 0.0281836, 282.843
0.0389706, 0.0273104, 282.843
